x,y,w,h
0.936992,0.373268,0.0624657,0.0609283
0.947487,0.410313,0,0
0.936992,0.403732,0.0312328,0.0304641
0.983305,0.408767,0,0
0.968225,0.403732,0.0312328,0.0304641
0.991037,0.365339,0,0
0.874527,0.251411,0.124931,0.121857
0.749595,0.00769819,0.249863,0.243713
0.937897,0.239911,0,0
0.874527,0.129555,0.124931,0.121857
0.874527,0.00769819,0.124931,0.121857
0.947764,0.0737491,0,0
0.936992,0.0686264,0.0624657,0.0609282
0.94098,0.050084,0,0
0.936992,0.00769819,0.0624657,0.0609283
0.909208,0.0605643,0,0
0.874527,0.00769819,0.0624656,0.0609283
0.749595,0.00769819,0.124931,0.121857
0.827817,0.125365,0,0
0.812061,0.0686264,0.0624657,0.0609282
0.830965,0.0345721,0,0
0.812061,0.00769819,0.0624657,0.0609283
0.802406,0.0330538,0,0
0.749595,0.00769819,0.0624657,0.0609283
0.499733,0.00769819,0.249863,0.243713
0.499733,0.129555,0.124931,0.121857
0.532767,0.218959,0,0
0.499733,0.190483,0.0624656,0.0609283
0.499733,0.129555,0.0624656,0.0609283
0.556146,0.148152,0,0
0.530966,0.129555,0.0312328,0.0304641
0.499741,0.147533,0,0
0.499733,0.129555,0.0312328,0.0304641
0.624664,0.129555,0.124931,0.121857
0.651646,0.215248,0,0
0.624664,0.190483,0.0624656,0.0609283
0.71471,0.130427,0,0
0.68713,0.129555,0.0624657,0.0609283
0.624664,0.00769819,0.124931,0.121857
0.651519,0.0726859,0,0
0.624664,0.0686264,0.0624656,0.0609282
0.671149,0.00769819,0,0
0.624664,0.00769819,0.0624656,0.0609283
7.82637e-06,0.00769819,0.499725,0.487426
7.82637e-06,0.251411,0.249863,0.243713
0.0029996,0.414293,0,0
7.82637e-06,0.373268,0.124931,0.121857
0.247842,0.476432,0,0
0.124939,0.373268,0.124931,0.121857
0.124939,0.251411,0.124931,0.121857
0.180896,0.31754,0,0
0.124939,0.312339,0.0624656,0.0609283
0.187405,0.251411,0.0624656,0.0609283
0.233195,0.306322,0,0
0.218638,0.281875,0.0312328,0.0304641
0.237774,0.274907,0,0
0.218638,0.251411,0.0312328,0.0304641
7.82637e-06,0.251411,0.124931,0.121857
0.0710636,0.365339,0,0
0.0624735,0.312339,0.0624656,0.0609283
0.0909903,0.274588,0,0
0.0624735,0.251411,0.0624656,0.0609283
0.24987,0.251411,0.249863,0.243713
0.24987,0.373268,0.124931,0.121857
0.24987,0.434196,0.0624656,0.0609283
0.252126,0.488515,0,0
0.24987,0.46466,0.0312328,0.0304641
0.27271,0.436411,0,0
0.24987,0.434196,0.0312328,0.0304641
0.349524,0.4523,0,0
0.312336,0.434196,0.0624656,0.0609283
0.269317,0.415395,0,0
0.24987,0.373268,0.0624656,0.0609283
0.385815,0.387725,0,0
0.374802,0.373268,0.124931,0.121857
0.24987,0.00769819,0.249863,0.243713
0.24987,0.129555,0.124931,0.121857
0.359265,0.166507,0,0
0.312336,0.129555,0.0624656,0.0609283
0.24987,0.129555,0.0624656,0.0609283
0.287212,0.178328,0,0
0.281103,0.160019,0.0312328,0.0304641
0.253057,0.135109,0,0
0.24987,0.129555,0.0312328,0.0304641
0.374802,0.129555,0.124931,0.121857
0.389314,0.20325,0,0
0.374802,0.190483,0.0624656,0.0609283
0.426497,0.142021,0,0
0.374802,0.129555,0.0624656,0.0609283
0.383416,0.0668422,0,0
0.374802,0.00769819,0.124931,0.121857
0.24987,0.00769819,0.124931,0.121857
0.266145,0.0907329,0,0
0.24987,0.0686264,0.0624656,0.0609282
0.262453,0.0474645,0,0
0.24987,0.00769819,0.0624656,0.0609283
7.82637e-06,0.00769819,0.249863,0.243713
7.82637e-06,0.129555,0.124931,0.121857
0.0921736,0.162199,0,0
0.0624735,0.129555,0.0624656,0.0609283
7.82637e-06,0.131538,0,0
7.82637e-06,0.129555,0.0624656,0.0609283
0.124939,0.129555,0.124931,0.121857
0.124939,0.190483,0.0624656,0.0609283
0.159768,0.212752,0,0
0.156172,0.190483,0.0312328,0.0304641
0.126031,0.199757,0,0
0.124939,0.190483,0.0312328,0.0304641
