theta,mean_relative_force,stddev_relative_force,median_relative_force,lower_25_relative_force,upper_75_relative_forcemean_time_mus,stddev_time_ns,median_time_ns,lower_25_time_ns,upper_75_time_ns
0.846,0.982682,0.0611735,0.990313,0.961213,1.00373,6182.78,2205.46,6247,5455,6879
0.849,0.982701,0.0618339,0.990181,0.961213,1.0037,6211.65,2632.6,6220,5435,6841
0.852,0.981964,0.061054,0.989832,0.960832,1.00402,6163.88,3218.68,6142,5405,6801
0.855,0.981314,0.0611065,0.989362,0.960013,1.00396,6023.8,1693.68,6115,5376,6745
0.858,0.981226,0.0611601,0.989033,0.959499,1.0037,6042,2293.67,6085,5299,6696
0.861,0.981468,0.0635247,0.988517,0.959202,1.00408,6012.12,2481.8,6048,5262,6655
0.864,0.981776,0.064247,0.988771,0.959092,1.00474,5991.13,2652.58,6022,5285,6636
0.867,0.981925,0.0650793,0.988587,0.9583,1.00448,5863.8,1730.9,5972,5205,6573
0.87,0.985688,0.146351,0.988587,0.95884,1.00435,5858.27,1868.63,5933,5212,6543
0.873,0.985137,0.146418,0.988201,0.958148,1.00396,5881.97,2518.04,5903,5193,6508
0.876,0.984569,0.147569,0.988088,0.957194,1.00398,5762.68,1575.17,5867,5113,6453
0.879,0.984616,0.14769,0.988055,0.956901,1.00398,5761.74,2082.93,5813,5093,6436
0.882,0.98525,0.168791,0.987591,0.956825,1.00419,5740.68,2179.78,5791,5081,6405
0.885,0.985222,0.173609,0.987709,0.956055,1.0046,5766.35,2296.45,5761,5057,6384
0.888,0.984805,0.173738,0.987523,0.955052,1.00453,5745.81,3034.7,5716,5023,6346
0.891,0.984567,0.173943,0.987709,0.953908,1.00413,5613.62,1658.84,5673,4977,6271
0.894,0.983838,0.174341,0.987449,0.953861,1.00413,5581.04,1653.36,5669,4951,6267
0.897,0.983809,0.174515,0.987482,0.953312,1.00412,5719.49,3016.29,5655,4919,6253
0.9,0.983621,0.17453,0.987467,0.953292,1.00412,5568.02,1774.87,5617,4897,6178
0.903,0.98331,0.174802,0.987467,0.953115,1.00426,5458.83,1014.48,5593,4861,6161
0.906,0.983094,0.17531,0.987661,0.952789,1.0047,5543.35,2524.92,5560,4836,6123
0.909,0.982449,0.174485,0.987523,0.951864,1.00426,5509.84,2456.93,5518,4787,6090
0.912,0.982345,0.17439,0.987523,0.951864,1.00405,5413.33,1722.69,5480,4764,6042
0.915,0.981325,0.175365,0.987302,0.951434,1.00382,5364.46,1468.97,5449,4730,6007
0.918,0.981433,0.175937,0.987467,0.95169,1.00383,5375.75,1919.04,5417,4703,5978
0.921,0.980844,0.176765,0.987184,0.952053,1.00377,5428.35,2462.45,5367,4698,5953
0.924,0.980193,0.176971,0.987127,0.951039,1.00373,5398.48,3727.12,5335,4658,5919
0.927,0.979922,0.176762,0.986964,0.951142,1.00367,5243.16,1481.51,5291,4645,5894
0.93,0.98053,0.17732,0.986985,0.951039,1.00377,5212.71,1174.33,5285,4601,5857
0.933,0.979981,0.16717,0.986985,0.950748,1.00384,5355.38,3802.32,5244,4578,5829
0.936,0.979181,0.15589,0.987184,0.950574,1.00371,5214.3,1804.79,5230,4566,5816
0.939,0.979513,0.156242,0.987432,0.950338,1.00401,5249.25,2419.47,5180,4537,5773
0.942,0.979114,0.156398,0.987432,0.950317,1.00415,5111.39,1218.28,5163,4496,5734
0.945,0.979983,0.157998,0.98734,0.950141,1.00437,5063.98,1110.56,5140,4459,5704
0.948,0.979858,0.158025,0.98734,0.950073,1.00425,5076.45,1508.43,5112,4426,5705
0.951,0.978041,0.140804,0.987202,0.949004,1.00401,5054.22,2007.7,5081,4393,5658
0.954,0.977099,0.141895,0.986873,0.949004,1.00394,5076.1,2017.13,5037,4364,5644
0.957,0.976799,0.142456,0.986695,0.949004,1.00377,5071.94,2171.26,5023,4362,5601
0.96,0.976552,0.142582,0.986695,0.949126,1.00377,4975.6,1837.47,4965,4343,5559
0.963,0.976015,0.14887,0.986384,0.949004,1.00377,4953.19,2126.61,4958,4326,5524
0.966,0.975958,0.149139,0.986052,0.948836,1.0038,4910.88,1545.28,4930,4294,5526
0.969,0.976354,0.149838,0.986052,0.947838,1.00384,4976.3,2063.32,4902,4287,5477
0.972,0.976234,0.149416,0.985748,0.947693,1.0038,4843.07,1134.3,4880,4250,5449
0.975,0.976663,0.149389,0.985036,0.947327,1.0038,4910.17,2584.27,4863,4224,5418
0.978,0.976176,0.14998,0.985273,0.947327,1.00372,4862.69,1945.13,4834,4223,5376
0.981,0.976365,0.150837,0.985683,0.947467,1.0038,4892.27,2343.18,4812,4221,5348
0.984,0.976105,0.151031,0.985748,0.946524,1.00377,4812.74,1765.19,4809,4191,5324
0.987,0.975725,0.150777,0.985071,0.947467,1.00398,4775.98,2032.7,4776,4154,5285
0.99,0.97565,0.152626,0.985036,0.945959,1.0038,4740.98,1582.77,4753,4146,5255
0.993,0.975516,0.15278,0.984697,0.94524,1.00406,4719.44,1520.84,4731,4122,5247
0.996,0.975702,0.153609,0.985018,0.945568,1.00427,4804.19,2635.57,4704,4107,5232
0.999,0.974873,0.159025,0.984808,0.944106,1.00414,4767.6,2653.23,4671,4093,5178
1.002,0.974934,0.159135,0.984757,0.94352,1.00459,4717.63,2151.12,4662,4077,5127
1.005,0.977466,0.227619,0.984697,0.943012,1.00459,4579.11,995.461,4628,4056,5094
1.008,0.976496,0.228629,0.984676,0.941511,1.00459,4704.34,2572.72,4612,4051,5085
1.011,0.976574,0.228561,0.984808,0.940912,1.00504,4609.78,2019.06,4584,4034,5055
1.014,0.975652,0.228502,0.983913,0.940028,1.00504,4523.13,1040.04,4566,4017,5026
1.017,0.97494,0.228702,0.983575,0.939809,1.00504,4547.16,1892.85,4526,3995,5003
1.02,0.974273,0.229282,0.982732,0.939627,1.00462,4492.33,1342.73,4501,3960,5003
1.023,0.974449,0.228822,0.982498,0.939907,1.00427,4498.5,1561.75,4476,3949,4972
1.026,0.974046,0.22912,0.982176,0.939907,1.00462,4499.9,2002.95,4451,3912,4939
1.029,0.973824,0.229613,0.982257,0.939627,1.0045,4476.93,2142.7,4416,3892,4915
1.032,0.973768,0.229727,0.982078,0.939809,1.00533,4365.73,786.747,4395,3886,4881
1.035,0.974029,0.247111,0.982771,0.938417,1.00533,4451.62,2031.88,4386,3888,4865
1.038,0.974661,0.249406,0.982771,0.93952,1.00576,4353.49,1010.24,4359,3855,4854
1.041,0.974831,0.249303,0.982078,0.938683,1.00573,4308.38,781.126,4316,3828,4827
1.044,0.973324,0.25026,0.982028,0.937105,1.00567,4468.19,2599.09,4327,3803,4821
1.047,0.971354,0.252155,0.981803,0.935797,1.00533,4463.03,2900.82,4305,3789,4805
1.05,0.972019,0.252534,0.981503,0.936127,1.00562,4306.81,1531.84,4285,3773,4762
1.053,0.972117,0.252873,0.981803,0.936127,1.00573,4451,3352.96,4252,3761,4757
1.056,0.972204,0.252853,0.981504,0.936208,1.00575,4299.91,2030.89,4242,3739,4722
1.059,0.97134,0.252953,0.98148,0.936091,1.00566,4378.64,3074.28,4210,3721,4701
1.062,0.971349,0.253163,0.981794,0.936127,1.006,4272.85,2268.45,4187,3709,4684
1.065,0.971219,0.25361,0.981803,0.935797,1.00575,4147.93,729.014,4175,3691,4653
1.068,0.970544,0.253365,0.98086,0.935165,1.00542,4211.82,1970.74,4153,3686,4616
1.071,0.970796,0.254848,0.980897,0.934816,1.00638,4155.06,1554.18,4140,3654,4602
1.074,0.970239,0.25525,0.980835,0.934805,1.00605,4106.1,810.494,4119,3662,4568
1.077,0.970311,0.254912,0.98086,0.934805,1.00657,4208.71,2200.12,4090,3650,4560
1.08,0.971361,0.255211,0.982068,0.934612,1.00859,4123.69,1739.04,4075,3605,4530
1.083,0.97113,0.255115,0.981868,0.933534,1.00825,4074.28,1156.8,4047,3594,4514
1.086,0.970991,0.255346,0.981794,0.933206,1.00754,4030.47,836.948,4029,3578,4487
1.089,0.970181,0.255449,0.982028,0.933281,1.00834,4054.05,1210.15,3997,3556,4464
1.092,0.969894,0.255387,0.98238,0.931858,1.00742,3997.07,788.468,3980,3550,4436
1.095,0.969426,0.255543,0.982498,0.929336,1.00702,3983.84,982.834,3974,3543,4412
1.098,0.968244,0.256673,0.98238,0.928238,1.00763,3985.76,1019.46,3966,3522,4398
1.101,0.967319,0.256725,0.982028,0.927156,1.00702,3982.83,1288.98,3964,3520,4379
1.104,0.966438,0.256658,0.981788,0.925068,1.00742,3919.09,699.771,3945,3500,4364
1.107,0.966293,0.256619,0.981027,0.924876,1.00727,3940.91,1219.66,3918,3475,4331
1.11,0.966149,0.256578,0.981027,0.924563,1.00688,4056.21,2614.48,3903,3464,4325
1.113,0.967099,0.256355,0.981413,0.924709,1.00727,3860.29,678.152,3876,3446,4308
1.116,0.968273,0.308932,0.981504,0.924596,1.00795,3855.81,733.49,3863,3419,4289
1.119,0.967782,0.309105,0.980835,0.924017,1.00808,4002.05,3296.88,3835,3402,4261
1.122,0.967483,0.311018,0.979797,0.922135,1.00742,3914.17,1991.93,3817,3371,4253
1.125,0.967074,0.310866,0.979162,0.919745,1.00809,3797.42,688.944,3816,3368,4217
1.128,0.967086,0.311455,0.979629,0.91973,1.00859,3803.74,1149.69,3790,3355,4203
1.131,0.966673,0.311689,0.979044,0.919405,1.00859,3766.95,761.471,3781,3334,4185
1.134,0.966569,0.31254,0.978685,0.919405,1.00834,3775.63,989.973,3759,3333,4167
1.137,0.966354,0.31299,0.977873,0.918395,1.00859,3908.73,2883.2,3738,3305,4159
1.14,0.966238,0.31266,0.978685,0.918395,1.00892,3937.62,3117.56,3721,3303,4146
1.143,0.965979,0.312616,0.978685,0.91735,1.00892,3733.8,1345.61,3702,3298,4123
1.146,0.96611,0.3129,0.97819,0.916958,1.00906,3767.38,2549.89,3684,3273,4113
1.149,0.965637,0.312511,0.978161,0.916958,1.01059,3708.23,1385.96,3670,3268,4092
1.152,0.966536,0.31332,0.978846,0.916958,1.01107,3713.44,1594.24,3650,3244,4066
1.155,0.966987,0.313627,0.979711,0.916873,1.01175,3730.67,1917.28,3639,3219,4050
1.158,0.966818,0.314621,0.979629,0.914335,1.01107,3681.07,1544.33,3610,3214,4043
1.161,0.967596,0.316253,0.979162,0.914335,1.01131,3725.85,2072.11,3590,3202,4023
1.164,0.967914,0.316455,0.979361,0.916715,1.01175,3672.47,1696.72,3590,3188,4014
1.167,0.968734,0.351931,0.979361,0.916006,1.01205,3609.45,1143.21,3558,3169,3999
1.17,0.968482,0.351936,0.979711,0.913346,1.01331,3613.8,1390.1,3545,3165,3969
1.173,0.968329,0.352016,0.980588,0.913123,1.01385,3679.51,2344.99,3540,3152,3964
1.176,0.968181,0.352901,0.979347,0.913123,1.01336,3580.95,1386.14,3521,3141,3921
1.179,0.966595,0.354339,0.979978,0.912794,1.01336,3570.98,1176.27,3513,3122,3898
1.182,0.967003,0.353696,0.979978,0.912423,1.01328,3695.55,2425.01,3502,3096,3896
1.185,0.967109,0.353707,0.979349,0.911824,1.01302,3492.89,626.56,3490,3088,3856
1.188,0.96642,0.354123,0.979347,0.911103,1.01328,3635.98,2285.82,3482,3072,3863
1.191,0.966608,0.35515,0.979215,0.911818,1.01361,3499.24,1303.54,3465,3070,3830
1.194,0.963304,0.245633,0.979349,0.911818,1.0141,3467.15,749.866,3448,3056,3811
1.197,0.96461,0.249099,0.980148,0.911004,1.01493,3581.06,2818.17,3434,3053,3808
1.2,0.964623,0.249037,0.979349,0.911103,1.01512,3551.54,2243.58,3411,3041,3800
1.203,0.964718,0.250633,0.980614,0.910884,1.01563,3526.95,2081.71,3400,3015,3788
1.206,0.965035,0.251053,0.981518,0.911004,1.01567,3503.01,2200.94,3394,2999,3773
1.209,0.965109,0.251348,0.98074,0.911004,1.01594,3401.18,688.148,3377,2993,3758
1.212,0.964031,0.250914,0.980614,0.910076,1.01594,3425.16,1274.27,3367,2969,3748
1.215,0.963315,0.25147,0.980148,0.908424,1.01593,3445.83,1922.06,3358,2948,3715
1.218,0.962217,0.252298,0.978846,0.907875,1.01594,3416.36,1490.25,3343,2933,3709
1.221,0.9624,0.253218,0.979215,0.908424,1.01616,3446.18,2072.34,3326,2931,3696
1.224,0.962164,0.256194,0.979215,0.908362,1.01616,3397.76,1755.16,3326,2924,3696
1.227,0.963255,0.256704,0.979629,0.908362,1.01628,3437.05,2459.12,3303,2908,3700
1.23,0.962584,0.257232,0.978841,0.906278,1.01616,3351.13,1404.29,3281,2900,3694
1.233,0.962412,0.258707,0.978841,0.90443,1.01659,3360.78,2023.85,3270,2880,3663
1.236,0.962823,0.258628,0.978841,0.904133,1.01712,3304.89,1065.91,3261,2869,3650
1.239,0.962304,0.258323,0.978721,0.902807,1.01674,3329.3,1343.8,3247,2870,3641
1.242,0.96234,0.258048,0.978786,0.903546,1.01674,3373.95,2228.04,3236,2869,3636
1.245,0.961981,0.258711,0.978786,0.903239,1.01674,3299.23,1241.17,3221,2856,3622
1.248,0.962578,0.25836,0.978253,0.903546,1.01674,3300.83,1534.23,3200,2833,3618
1.251,0.960391,0.259836,0.97791,0.901161,1.01674,3259.97,1585.46,3188,2822,3600
1.254,0.960247,0.261341,0.977706,0.899556,1.01807,3385.07,3138.61,3177,2822,3590
1.257,0.960313,0.260939,0.977276,0.896853,1.0176,3188.64,585.712,3160,2817,3557
1.26,0.960753,0.261167,0.977321,0.897129,1.0176,3286.95,2383.86,3153,2801,3540
1.263,0.960129,0.261695,0.97759,0.896014,1.0176,3190.46,823.483,3144,2793,3531
1.266,0.959266,0.262388,0.977675,0.895963,1.01909,3173.61,766.137,3146,2771,3525
1.269,0.958767,0.263636,0.977321,0.895983,1.0188,3196.84,1354.32,3134,2759,3506
1.272,0.957776,0.265368,0.976579,0.894964,1.0188,3131.19,574.157,3124,2747,3491
1.275,0.961662,0.331282,0.97549,0.894935,1.01909,3192.14,1216.03,3126,2741,3499
1.278,0.96425,0.3419,0.975269,0.894964,1.01909,3130.46,839.226,3118,2728,3470
1.281,0.964567,0.343293,0.974222,0.894964,1.01963,3214.92,2167.46,3112,2710,3456
1.284,0.964878,0.343845,0.974222,0.894964,1.02005,3127.97,1096.61,3101,2705,3448
1.287,0.966051,0.343535,0.974222,0.894964,1.02056,3125.88,1133.39,3098,2694,3430
1.29,0.966158,0.343497,0.974341,0.894597,1.02185,3112.62,1258.6,3082,2695,3409
1.293,0.966362,0.344119,0.974981,0.894964,1.02108,3110.03,1471.62,3062,2687,3390
1.296,0.967027,0.344401,0.975119,0.894964,1.02256,3092.93,1170.04,3051,2685,3384
1.299,0.970196,0.348171,0.976196,0.895761,1.02407,3110.05,1857.15,3043,2665,3376
1.302,0.969267,0.349561,0.976196,0.894044,1.02457,3020.82,548.407,3026,2661,3365
1.305,0.96841,0.350828,0.975269,0.889817,1.02427,3101.84,1786.73,3008,2653,3357
1.308,0.969057,0.351656,0.975219,0.891153,1.02407,3091.41,1852.77,3004,2650,3349
1.311,0.970359,0.355294,0.975219,0.889817,1.02457,3040.03,1240.14,2995,2637,3327
1.314,0.969529,0.358006,0.975269,0.888694,1.02427,3033.29,1744.07,2979,2644,3329
1.317,0.969463,0.356998,0.975359,0.885121,1.02427,3054.48,1742.64,2960,2623,3324
1.32,0.969321,0.357448,0.97549,0.885121,1.02406,3060.6,1838.1,2951,2606,3306
1.323,0.968389,0.358749,0.975119,0.883871,1.02333,3034,1892.63,2950,2595,3295
1.326,0.969624,0.358781,0.97549,0.88488,1.02544,2962.99,817.539,2930,2565,3277
1.329,0.969326,0.360949,0.974993,0.884687,1.02641,2962.32,837.032,2923,2558,3279
1.332,0.96786,0.363283,0.974993,0.881509,1.02699,2947.43,1295.14,2906,2540,3249
1.335,0.967732,0.36376,0.974402,0.879618,1.02641,3003.58,1792.86,2905,2538,3260
1.338,0.968112,0.364923,0.974699,0.879618,1.02641,3006.46,2764.85,2895,2531,3250
1.341,0.970116,0.372052,0.974993,0.879618,1.02705,2938.51,1057.28,2878,2517,3243
1.344,0.970412,0.372441,0.974856,0.879517,1.0274,2927.44,1275.49,2871,2510,3237
1.347,0.971721,0.375961,0.974856,0.880005,1.02757,2987.59,2128.14,2869,2487,3224
1.35,0.971159,0.376194,0.974699,0.879185,1.02705,2851.49,523.96,2854,2472,3208
1.353,0.97002,0.376955,0.974042,0.874717,1.0274,2840.06,522.905,2848,2458,3187
1.356,0.970644,0.377069,0.974036,0.879185,1.0274,2872.43,1548.97,2835,2450,3182
1.359,0.969874,0.378277,0.974042,0.879517,1.02792,3025.91,5653.69,2817,2442,3168
1.362,0.970854,0.37757,0.974036,0.879185,1.02806,2874.79,1681.26,2798,2440,3161
1.365,0.970397,0.378654,0.974042,0.876121,1.02904,2800.89,547.328,2794,2431,3147
1.368,0.969989,0.379862,0.974042,0.87391,1.02877,2848.66,1918.19,2773,2428,3142
1.371,0.969769,0.380044,0.974036,0.871028,1.0285,2846.7,1694.09,2774,2411,3128
1.374,0.969016,0.382276,0.973978,0.86916,1.02806,2839.22,1396.04,2763,2406,3122
1.377,0.969798,0.38633,0.974042,0.86859,1.02806,2818.26,1304.03,2748,2395,3117
1.38,0.969162,0.388403,0.974402,0.866145,1.02806,2833.34,1920.57,2737,2390,3101
1.383,0.968614,0.389043,0.974042,0.864955,1.02792,2823.04,1473.04,2723,2376,3089
1.386,0.967734,0.389997,0.974042,0.864921,1.02874,2726.04,499.41,2717,2361,3081
1.389,0.968767,0.390967,0.974222,0.864955,1.03085,2761.07,958.489,2704,2356,3077
1.392,0.96902,0.39105,0.974036,0.864955,1.03044,2789.59,1590.21,2702,2338,3066
1.395,0.969624,0.380967,0.973997,0.864921,1.03084,2774.21,1588.95,2697,2343,3056
1.398,0.970214,0.381991,0.973978,0.862525,1.03097,2705.68,574.294,2681,2334,3039
1.401,0.971321,0.383319,0.973997,0.862083,1.03097,2728.86,1384.75,2678,2326,3037
1.404,0.972377,0.386103,0.974005,0.860723,1.0328,2762.84,1554.97,2652,2325,3038
1.407,0.971609,0.390345,0.973997,0.860329,1.03314,2672.53,505.887,2637,2304,3018
1.41,0.973421,0.409973,0.973375,0.856739,1.03335,2677.75,663.902,2620,2304,3007
1.413,0.973715,0.40993,0.97352,0.856739,1.03341,2715.4,1344.87,2618,2298,3003
1.416,0.973291,0.411078,0.973375,0.856421,1.03341,2660.15,729.769,2598,2294,2982
1.419,0.973395,0.411492,0.973112,0.856007,1.03341,2640.93,518.466,2589,2278,2983
1.422,0.974164,0.411795,0.973112,0.856421,1.03314,2711.31,1531.79,2578,2276,2986
1.425,0.974537,0.41556,0.973023,0.85565,1.03314,2710.79,1654.79,2573,2266,2974
1.428,0.976042,0.41642,0.973258,0.855818,1.03341,2651.37,1308.78,2562,2261,2959
1.431,0.976177,0.41801,0.973258,0.856007,1.03403,2629.46,790.245,2564,2251,2956
1.434,0.975092,0.415997,0.973112,0.85565,1.0343,2612.49,592.906,2552,2249,2940
1.437,0.973712,0.416251,0.971763,0.852789,1.0343,2589.38,514.595,2550,2247,2928
1.44,0.972492,0.415959,0.972355,0.851789,1.03403,2593.42,605.99,2539,2235,2922
1.443,0.97365,0.420413,0.972355,0.849097,1.03471,2717.42,2335.52,2548,2230,2917
1.446,0.973273,0.421486,0.972355,0.84622,1.03526,2688.48,1731.13,2531,2225,2914
1.449,0.972422,0.424531,0.971763,0.846149,1.03526,2657.55,2338.06,2525,2203,2902
1.452,0.968499,0.416807,0.970315,0.845858,1.03395,2572.56,823.251,2507,2201,2896
1.455,0.968718,0.417128,0.971577,0.843606,1.03471,2552.99,533.133,2501,2195,2897
1.458,0.967312,0.418166,0.968994,0.838931,1.03471,2641.84,1969.17,2490,2183,2896
1.461,0.960018,0.344215,0.969455,0.833717,1.0353,2533.72,524.007,2483,2171,2882
1.464,0.959326,0.344194,0.968863,0.832371,1.03599,2577.85,1415.32,2469,2163,2879
1.467,0.959011,0.349765,0.968055,0.829842,1.03599,2691.79,4308.39,2463,2162,2867
1.47,0.959396,0.351137,0.968565,0.832272,1.03673,2526.2,665.541,2463,2158,2858
1.473,0.958788,0.352983,0.968684,0.829842,1.03673,2523.06,691.984,2449,2135,2834
1.476,0.95822,0.3552,0.968055,0.828947,1.03669,2546.01,1352.93,2453,2142,2830
1.479,0.958268,0.356605,0.968055,0.828947,1.03673,2622.12,2370.93,2447,2131,2816
1.482,0.958979,0.355322,0.968638,0.832272,1.03684,2554.98,1761.45,2436,2132,2803
1.485,0.960605,0.359677,0.968684,0.830427,1.04058,2513.79,892.948,2434,2118,2803
1.488,0.961152,0.359733,0.968994,0.832272,1.04125,2493.21,850.604,2423,2110,2781
1.491,0.962528,0.369317,0.968684,0.832272,1.04194,2541.84,1715.75,2417,2100,2769
1.494,0.963768,0.37292,0.969455,0.832371,1.04392,2473.39,879.211,2413,2093,2757
1.497,0.964296,0.379727,0.970209,0.832272,1.04563,2447.27,607.341,2399,2080,2751
1.5,0.965534,0.383726,0.969455,0.832339,1.04563,2508.56,1735.93,2386,2087,2744
1.503,0.967703,0.3871,0.972228,0.833717,1.04578,2504.15,1575.61,2385,2074,2744
1.506,0.967924,0.388091,0.970239,0.832339,1.04651,2443.05,1283.69,2368,2064,2737
1.509,0.971534,0.400521,0.970209,0.832272,1.04685,2411.44,576.536,2366,2060,2728
1.512,0.972058,0.404414,0.972228,0.832272,1.04998,2436.12,1283.58,2361,2055,2714
1.515,0.971028,0.404531,0.969455,0.829842,1.04998,2444.4,1083.21,2359,2054,2702
1.518,0.971071,0.407062,0.968863,0.832272,1.04651,2424.25,1337.6,2346,2041,2697
1.521,0.973638,0.415846,0.970209,0.827416,1.04976,2389.51,941.274,2336,2043,2683
1.524,0.977075,0.468112,0.970239,0.827416,1.04998,2416.44,1565.5,2332,2035,2681
1.527,0.978351,0.471076,0.971261,0.827416,1.0533,2406.8,1403.65,2311,2030,2658
1.53,0.974131,0.473643,0.971261,0.819563,1.05172,2380.25,1040.77,2310,2023,2660
1.533,0.971641,0.476755,0.970209,0.815287,1.05463,2359.76,1192.95,2300,2015,2636
1.536,0.971112,0.477637,0.968055,0.814612,1.05172,2326.85,648.836,2297,2011,2629
1.539,0.968576,0.477941,0.967552,0.81403,1.05341,2378.8,1783.89,2286,2007,2619
1.542,0.9675,0.478371,0.967552,0.811163,1.05463,2342.67,1341.15,2289,1999,2605
1.545,0.96262,0.482282,0.966545,0.804679,1.05463,2374.04,1834.71,2275,1984,2599
1.548,0.960995,0.482821,0.9646,0.802308,1.05463,2388.77,2405.69,2268,1985,2579
1.551,0.957691,0.485415,0.9646,0.795106,1.05463,2352.34,1968.48,2263,1982,2570
1.554,0.954958,0.486146,0.964409,0.789365,1.05463,2248.05,593.574,2259,1976,2571
1.557,0.953098,0.486579,0.963437,0.784958,1.04998,2320.64,1793.2,2248,1967,2562
1.56,0.952336,0.486969,0.96382,0.783617,1.04976,2395.6,2534.74,2250,1969,2570
1.563,0.951387,0.487843,0.963084,0.779929,1.04998,2260.65,1220.17,2240,1963,2555
1.566,0.953986,0.498502,0.963437,0.779929,1.04998,2218.75,601.198,2234,1966,2551
1.569,0.953659,0.500968,0.964062,0.774312,1.05246,2229.39,756.891,2230,1958,2544
1.572,0.953503,0.500891,0.963437,0.775906,1.05172,2202.53,593.759,2216,1951,2531
1.575,0.950973,0.502378,0.961513,0.773553,1.04976,2199.27,611.346,2220,1951,2520
1.578,0.95045,0.504651,0.961513,0.771427,1.05172,2191.43,605.852,2211,1947,2513
1.581,0.948164,0.506461,0.961451,0.76762,1.05172,2232.25,1177.84,2206,1935,2512
1.584,0.949855,0.50903,0.96126,0.76762,1.05246,2227.04,1628.4,2193,1933,2498
1.587,0.946393,0.508716,0.957824,0.76046,1.05033,2191.29,1288.18,2187,1928,2484
1.59,0.941199,0.458675,0.957824,0.76046,1.04998,2309.03,2301.83,2180,1923,2489
1.593,0.939601,0.459683,0.957824,0.752519,1.04976,2196.98,1529.89,2172,1915,2478
1.596,0.935804,0.461365,0.954878,0.732153,1.04651,2187.28,1454.1,2165,1905,2469
1.599,0.933656,0.465758,0.95265,0.728487,1.04526,2128.29,693.219,2157,1902,2455
1.602,0.933631,0.466464,0.952568,0.726462,1.04651,2128.52,950.84,2156,1894,2446
1.605,0.928051,0.46932,0.949919,0.721461,1.04537,2191.82,1737.83,2153,1898,2441
1.608,0.927956,0.476472,0.949745,0.715301,1.04537,2228.47,3020.42,2149,1883,2427
1.611,0.926778,0.476889,0.950124,0.715301,1.04537,2076.05,642.644,2144,1883,2422
1.614,0.921985,0.475995,0.949745,0.707695,1.04526,2127.35,1469.72,2134,1876,2422
1.617,0.921631,0.479889,0.949387,0.705708,1.04467,2075.11,844.303,2139,1876,2407
1.62,0.945241,1.01307,0.948507,0.704874,1.04205,2083.78,1261.87,2131,1869,2399
1.623,0.945007,1.0153,0.945141,0.703036,1.04205,2112.77,1913.52,2116,1863,2396
1.626,0.943114,1.01362,0.945043,0.697759,1.04289,2035.36,682.01,2115,1864,2379
1.629,0.939621,1.0149,0.941589,0.69399,1.04289,2093.87,2329.69,2113,1851,2381
1.632,0.937064,1.01668,0.940484,0.686248,1.04125,2039.14,915.994,2102,1843,2379
1.635,0.935837,1.01734,0.940387,0.683667,1.04289,1999.93,660.627,2093,1842,2364
1.638,0.933404,1.018,0.940246,0.680848,1.04205,1993.19,665.306,2090,1835,2362
1.641,0.931666,1.01861,0.939828,0.677695,1.04205,1993.79,686.753,2082,1824,2358
1.644,0.930128,1.02108,0.938209,0.675267,1.04205,2003.79,1032.16,2078,1822,2351
1.647,0.925215,1.02204,0.935732,0.656737,1.04427,1974.38,746.293,2064,1806,2342
1.65,0.92141,1.02278,0.93272,0.651173,1.04125,2040.2,1950.76,2061,1805,2338
1.653,0.919799,1.02322,0.932105,0.644057,1.04125,1996.91,1393.7,2061,1803,2333
1.656,0.92005,1.02638,0.930122,0.637241,1.04125,2031.74,2007.25,2057,1793,2317
1.659,0.918465,1.02638,0.928078,0.637241,1.03971,1947.4,808.728,2049,1792,2308
1.662,0.91544,1.02519,0.927491,0.626686,1.03971,2133.85,4389.03,2049,1781,2305
1.665,0.916205,1.02584,0.9278,0.619955,1.04088,1931.65,819.661,2038,1775,2289
1.668,0.912826,1.02635,0.927491,0.613104,1.03971,1904.45,701.206,2039,1771,2277
1.671,0.90759,1.02827,0.922336,0.594394,1.03865,1916.09,1305.33,2025,1755,2272
1.674,0.901241,1.02486,0.918888,0.588356,1.03891,1870.42,712.99,2015,1743,2264
1.677,0.899468,1.02549,0.916096,0.581131,1.03971,1858.11,704.497,2012,1746,2258
1.68,0.897786,1.02577,0.913965,0.58111,1.03891,1849.67,741.762,1999,1714,2251
1.683,0.896931,1.02635,0.913329,0.577363,1.03971,1869.08,1299.65,1995,1714,2243
1.686,0.892689,1.02727,0.909411,0.56663,1.04088,1833.48,774.686,1987,1685,2236
1.689,0.892817,1.03438,0.906031,0.558851,1.04088,1897.67,2531.41,1974,1662,2230
1.692,0.890932,1.03484,0.904388,0.557763,1.03971,1842.96,1384.64,1971,1650,2221
1.695,0.885722,1.03023,0.903537,0.557041,1.03691,1876.81,1615.65,1964,1633,2217
1.698,0.882259,1.03093,0.896715,0.549448,1.03691,1821.82,1193.54,1962,1614,2213
1.701,0.881216,1.03056,0.892819,0.549448,1.03865,1820.31,1368.81,1962,1610,2207
1.704,0.879371,1.03115,0.892525,0.540579,1.03865,1775.29,824.413,1956,1601,2198
1.707,0.878298,1.0315,0.891374,0.54055,1.03891,1755.73,741.406,1954,1583,2190
1.71,0.87666,1.0326,0.889263,0.537622,1.03971,1756.73,782.144,1948,1574,2186
1.713,0.873536,1.03331,0.885051,0.529848,1.03865,1772.55,1465.3,1947,1559,2181
1.716,0.873051,1.03417,0.884543,0.520143,1.03865,1736.23,794.173,1941,1529,2170
